asin,category,subcategory,price,weight,review_rating,review_count,competitors,estimated_monthly_sales,last_updated,fba_fees,cogs,monthly_profit
B000000000,Office Products,Envelopes & Shipping Supplies,14.648826515737053,0.8196335954946556,4.296386934112021,0,8,147,2024-12-16,4.544175589862975,8.05685458365538,301.02606230614856
B000000001,Office Products,Envelopes & Shipping Supplies,12.966929057251829,0.9632621109892228,3.963769704791125,0,9,80,2024-12-16,4.867339749725751,7.131810981488506,77.4222660830057
B000000002,Office Products,Envelopes & Shipping Supplies,15.645345397410741,0.6010831951976106,4.282780760863962,0,10,215,2024-12-16,4.052437189194624,8.60493996857591,642.4131715226448
B000000003,Office Products,Envelopes & Shipping Supplies,11.549481212959872,1.0939085982788956,4.28475976341414,0,9,128,2024-12-16,5.161294346127515,6.35221466712793,4.6044415621666985
B000000004,Office Products,Envelopes & Shipping Supplies,17.794529248986116,0.8610355663159559,4.348194982105935,0,7,123,2024-12-16,4.637330024210901,9.786991086942365,414.5356009534406
B000000005,Office Products,Envelopes & Shipping Supplies,10.765124601494367,0.5178882963273045,4.4986788946478855,1,9,168,2024-12-16,3.8652486667364356,5.920818530821903,164.48164386125282
B000000006,Office Products,Envelopes & Shipping Supplies,17.14834626867291,0.6645142513983524,3.988266649489678,0,8,207,2024-12-16,4.195157065646293,9.431590447770102,728.9709423380988
B000000007,Office Products,Envelopes & Shipping Supplies,11.826326071563912,0.5410364541100383,4.806264416571038,0,9,155,2024-12-16,3.917332021747587,6.504479339360152,217.69978012070678
B000000008,Office Products,Envelopes & Shipping Supplies,12.16264755061351,0.9479718117702682,4.373534285311785,0,9,152,2024-12-16,4.832936576483103,6.6894561528374314,97.31873283653228
B000000009,Office Products,Envelopes & Shipping Supplies,15.009788611416798,0.8725998392566596,4.518038213920541,0,11,115,2024-12-16,4.663349638327484,8.25538373627924,240.47135223315837
B000000010,Office Products,Envelopes & Shipping Supplies,17.68546886471252,0.7683378828034513,4.1115551800733074,0,7,206,2024-12-16,4.428760236307766,9.727007875591886,727.1183550794505
B000000011,Office Products,Envelopes & Shipping Supplies,10.346220207082403,0.35118793173917884,4.68591464109866,0,6,156,2024-12-16,3.4901728464131523,5.690421113895322,181.83769449673292
B000000012,Office Products,Envelopes & Shipping Supplies,14.716860684543374,0.5067204690244167,4.222884277356081,0,8,138,2024-12-16,3.840121055304938,8.094273376498856,383.980342878062
B000000013,Office Products,Envelopes & Shipping Supplies,13.363132383206118,0.46598160899583474,4.383265754048059,0,10,132,2024-12-16,3.7484586202406285,7.349722810763366,298.9735256906804
B000000014,Office Products,Envelopes & Shipping Supplies,11.140018257517603,0.27190454913662787,4.020068176843867,0,8,201,2024-12-16,3.3117852355574127,6.127010041634683,341.9458190454272
B000000015,Office Products,Envelopes & Shipping Supplies,14.64207760007692,0.38592947321491755,4.000920512079362,0,10,136,2024-12-16,3.5683413147335643,8.053142680042306,410.8007303209428
B000000016,Office Products,Envelopes & Shipping Supplies,11.114641942924127,0.3892753086978722,4.506461591935865,0,9,201,2024-12-16,3.5758694445702126,6.11305306860827,286.56960537887454
B000000017,Office Products,Envelopes & Shipping Supplies,14.212949894802687,0.6101596623699006,4.166917950937784,0,7,126,2024-12-16,4.072859240332276,7.8171224421414784,292.6939947534455
B000000018,Office Products,Envelopes & Shipping Supplies,11.642966420136734,0.9266321669525461,4.043853073748687,0,9,186,2024-12-16,4.784922375643228,6.403631531075204,84.52072749580404
B000000019,Office Products,Envelopes & Shipping Supplies,12.313747432089457,0.5337425164219454,4.107044997391891,0,7,160,2024-12-16,3.9009206619493773,6.772561087649202,262.4425091985403
B000000020,Office Products,Envelopes & Shipping Supplies,13.204535809325565,0.6241376578174063,4.509685921515226,0,8,102,2024-12-16,4.104309730089164,7.262494695129061,187.44860117894854
B000000021,Office Products,Envelopes & Shipping Supplies,15.230229285863825,0.6242369513648176,4.111288641638916,0,5,145,2024-12-16,4.10453314057084,8.376626107225103,398.61515551984274
B000000022,Office Products,Envelopes & Shipping Supplies,11.448327520116406,0.6602410100738512,4.26470352051935,0,7,40,2024-12-16,4.185542272666165,6.296580136064024,38.648204455448685
B000000023,Office Products,Envelopes & Shipping Supplies,13.87803761917313,0.6991698608328726,4.304508325086129,0,9,112,2024-12-16,4.273132186873964,7.632920690545222,220.8622910764417
B000000024,Office Products,Envelopes & Shipping Supplies,12.243022100249537,1.087226945164302,3.72479533419691,0,9,71,2024-12-16,5.1462606266196795,6.733662155137246,25.78005161297538
B000000025,Office Products,Envelopes & Shipping Supplies,11.932030017411691,0.6043094482312406,3.8586620783879444,0,9,249,2024-12-16,4.059696258520291,6.56261650957643,326.1195950794274
B000000026,Office Products,Envelopes & Shipping Supplies,14.87518539576769,1.0962094871296868,4.400883366774268,0,8,71,2024-12-16,5.166471346041796,8.18135196767223,108.44270782581023
B000000027,Office Products,Envelopes & Shipping Supplies,12.223548263422032,0.6874701884240373,4.078891191654191,0,8,279,2024-12-16,4.246807923954084,6.722951544882118,349.8070736894464
